,Androgen,EGFR,Estrogen,Hypoxia,JAK-STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,WNT,p53
S_2007_003840_aPT,0.0017550532388748152,0.9901628961268492,0.26793077759832706,0.010311051900863122,1.953232671603189e-06,4.416214927083217e-06,0.00010930719043811266,3.494982081519993e-13,0.0015000495340051767,3.93476362603451e-11,0.10224668908501311,0.25306131319261205,0.26990088473794205,0.0
S_2007_003934_aPT,0.005020697769055227,0.7473514001249753,0.045817494023072225,0.00030805560592206405,0.0020075409609126016,1.876405697487371e-10,0.0012630292143454014,6.661338147750939e-16,0.0016368869249436813,1.254669848771428e-05,0.2945360370358878,0.12165184883918112,0.11153132615315164,8.855138844410249e-13
S_2007_004028_aPT,0.0022932341884527307,0.7164356051352065,0.07488514059034079,0.0013666981503459574,1.0586525452715989e-05,1.6477985154139674e-07,0.00015970245652741077,0.0,0.00029947333357571715,7.734401630266063e-08,0.17487035617756508,0.43302829997185377,0.16229025281752585,2.220446049250313e-16
S_2007_004216_aPT,0.0017550532388748152,0.9901628961268492,0.26793077759832706,0.010311051900863122,1.953232671603189e-06,4.416214927083217e-06,0.00010930719043811266,3.494982081519993e-13,0.0015000495340051767,3.93476362603451e-11,0.10224668908501311,0.25306131319261205,0.26990088473794205,0.0
S_2007_004263_aPT,0.0022932341884527307,0.7164356051352065,0.07488514059034079,0.0013666981503459574,1.0586525452715989e-05,1.6477985154139674e-07,0.00015970245652741077,0.0,0.00029947333357571715,7.734401630266063e-08,0.17487035617756508,0.43302829997185377,0.16229025281752585,2.220446049250313e-16
S_2103_004019_aPT,0.0007451396808197952,0.11422970535001009,0.0915066558452633,0.0018154767898750368,1.5801039872531675e-05,4.020522255121506e-07,0.0011137431159400357,9.092726571680032e-13,0.00855712155658539,1.9685803365199206e-07,0.19336067255247036,0.0028648765127654574,0.08998911872790405,0.0
S_2103_004028_aPT,0.00387929073922777,0.5639060600414889,0.04407237832584854,0.06191819879945637,7.147197924317616e-05,4.046376123056916e-08,0.001846394955341557,2.220446049250313e-16,0.04103946949859183,4.2848641124138e-07,0.24779114351513742,0.4221747823758242,0.14419121807347124,2.4424906541753444e-15
S_2103_004037_aPT,0.00016045033912659434,7.557613411957043e-05,0.036552485945222646,6.63621367813505e-06,0.007102476511356093,3.3160515345409536e-05,0.0054204846012304575,1.9725658884084396e-09,0.00014225025932557145,1.4882974231911206e-05,0.038796627950176577,6.168997761757389e-05,0.07161006280318305,0.0
S_2103_004046_aPT,0.007832412172576353,0.14919267330934027,0.2480508499528402,0.00463613440913524,4.8611545126364675e-05,0.00012776857440566225,0.0020336454623048894,3.0511149162748552e-12,5.2251300614258867e-05,9.9663264307992e-08,0.06270833766751505,0.2665978265641451,0.33918302694803315,0.0
S_2103_004064_aPT,2.256820905865986e-05,0.003216001255929024,0.07292148889400352,9.999775367752761e-07,0.17713839958463895,1.470985846463435e-07,0.008908855835345175,2.717634561832938e-09,0.004114068402284454,0.0040204236324274945,0.010722533900840547,0.00243375212330621,0.09882791544084935,0.0
S_2103_004073_aPT,0.00015678659669582373,0.00557887633598475,0.05041138091980191,0.001177277842839164,0.0027339962344223867,1.396246574136839e-06,0.00035724259168246064,8.277156737790392e-12,0.0007171066609694687,3.0362768921321504e-07,0.10918784284197636,0.00432849007099656,0.07513785008879115,0.0
S_2103_004091_aPT,9.50371063495048e-05,0.06887586587365901,0.23778366848265575,9.265392146184936e-06,2.370734025092247e-05,5.317867357579331e-07,0.0024802660951803723,6.322755652377055e-08,0.00017809788775813296,7.87665654922165e-08,0.04375439129951286,0.0018682670148724156,0.03633115334493642,0.0
S_2103_004100_aPT,0.0060658332967775674,0.5111714096917193,0.41758864353519587,0.008372964905989155,6.240356953401971e-07,1.0056761333254727e-05,0.0026180327946745408,4.1522341120980855e-14,0.00031638698287461686,3.493142664012794e-09,0.3385444051230202,0.11208393202024713,0.44123714811962245,0.0
S_2103_004109_aPT,1.4488663421907688e-05,0.00034867217560319297,0.3594554000244261,5.989796470906583e-05,0.00815543041994471,3.082476515725574e-05,0.025306888586278165,5.219012999546635e-09,0.001967575619364892,4.315741147165042e-05,0.12928949882145413,0.0008140442954565064,0.11548486980647854,0.0
S_2103_004118_aPT,0.00020558964699146642,0.021254256378913094,0.2586351464721557,0.0011433840951056151,0.00201709477119949,2.5292684213695793e-06,0.009020019158037185,4.973947920206001e-10,0.004938829646407683,8.296478107849836e-06,0.10727157524292408,0.00015987105170678362,0.030500407533730955,0.0
S_2103_004127_aPT,0.00034430520920647467,0.00018530279444672892,0.03498167565103527,5.8626194860078584e-05,0.016516346612637456,0.00011359751277284502,0.0035737754310427583,4.259095298664306e-10,0.00969188074779792,8.815222588309801e-05,0.07843314398634305,0.00049343944075253,0.0780438691958627,0.0
S_2103_004145_aPT,9.422704008477112e-05,0.0036064388287084803,0.03170833755123614,7.573836977736725e-05,0.005748630351485762,3.1393670263391016e-05,0.025357438991874037,1.1246796827180106e-09,0.039944473263064495,0.0002318873368150065,0.10906952537976311,0.0008985237077896446,0.03267902834394154,0.0
S_2103_004154_aPT,0.0002351207377455644,0.0007217804253989435,0.11081209634110412,0.00010148727752490316,0.0,5.901785478101829e-07,0.0005676461526358256,2.1033663699654426e-10,0.02331552239049084,1.4645754096154207e-06,0.06052804210078366,0.000614515444726349,0.05977056363032429,0.0
S_2103_004163_aPT,0.0003466069442308317,0.027455262569699768,0.035275155898583765,0.0008620941589645437,0.0011478623961826973,1.7873347981867127e-05,0.007446100392792365,2.921662911603562e-11,0.01239487885109325,1.20385362925024e-05,0.11863332650740932,0.0013412674526445123,0.06197995726228833,0.0
S_2103_004181_aPT,2.167627993232557e-05,0.006070823670318415,0.05324886986550448,8.468516783288749e-05,0.0006190669786205749,4.984985164679934e-05,0.028283336121787572,4.907851902657967e-12,0.000508739086036325,3.607003216110627e-07,0.10356798064698247,0.0005849445185097668,0.06670336560804935,0.0
S_2107_023520_aPT,0.000115326984354569,0.000766603188523618,0.24105279499084453,8.20151142022496e-06,0.01783225820806722,2.0472616061972815e-05,0.007678321916341879,3.6325276120408034e-10,0.0006083471122957373,6.363474843151806e-05,0.052746933316103695,0.0002588697390426553,0.10743313663911236,0.0
