Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cell_type
Reactome_2022,HIV Life Cycle R-HSA-162587,3/149,0.0928173387201612,0.1684163885183215,0,0,2.872340425531915,6.8279030913411205,UBB;RPS27A;PPIA,EC-DVR
Reactome_2022,CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017,2/72,0.0950209765441457,0.1704387716809033,0,0,3.981086519114688,9.370114565968796,UBB;RPS27A,EC-DVR
Reactome_2022,Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184,2/72,0.0950209765441457,0.1704387716809033,0,0,3.981086519114688,9.370114565968796,UBB;RPS27A,EC-DVR
Reactome_2022,Regulation Of RUNX2 Expression And Activity R-HSA-8939902,2/72,0.0950209765441457,0.1704387716809033,0,0,3.981086519114688,9.370114565968796,UBB;RPS27A,EC-DVR
Reactome_2022,Signaling By FGFR2 R-HSA-5654738,2/72,0.0950209765441457,0.1704387716809033,0,0,3.981086519114688,9.370114565968796,UBB;RPS27A,EC-DVR
Reactome_2022,Glycogen Breakdown (Glycogenolysis) R-HSA-70221,1/14,0.0962452906927208,0.172141577067552,0,0,10.674018289402904,24.9863315899439,CALM1,EC-DVR
Reactome_2022,APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178,2/73,0.0972539017980782,0.1724672592793115,0,0,3.9248165046617736,9.146510817614471,UBB;RPS27A,EC-DVR
Reactome_2022,APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419,2/73,0.0972539017980782,0.1724672592793115,0,0,3.9248165046617736,9.146510817614471,UBB;RPS27A,EC-DVR
Reactome_2022,Cellular Response To Hypoxia R-HSA-1234174,2/73,0.0972539017980782,0.1724672592793115,0,0,3.9248165046617736,9.146510817614471,UBB;RPS27A,EC-DVR
Reactome_2022,"Cell Death Signaling Via NRAGE, NRIF And NADE R-HSA-204998",2/74,0.0995017071137836,0.1754593483189536,0,0,3.870109546165884,8.930589236617617,UBB;RPS27A,EC-DVR
Reactome_2022,Signaling By NOTCH1 R-HSA-1980143,2/74,0.0995017071137836,0.1754593483189536,0,0,3.870109546165884,8.930589236617617,UBB;RPS27A,EC-DVR
Reactome_2022,APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,2/75,0.101764066221411,0.1784434326459476,0,0,3.816901408450704,8.721994619144347,UBB;RPS27A,EC-DVR
Reactome_2022,ISG15 Antiviral Mechanism R-HSA-1169408,2/75,0.101764066221411,0.1784434326459476,0,0,3.816901408450704,8.721994619144347,UBB;RPS27A,EC-DVR
Reactome_2022,EPHA-mediated Growth Cone Collapse R-HSA-3928663,1/15,0.1027568717421913,0.1791805061576929,0,0,9.91108891108891,22.55158813317602,MYL6,EC-DVR
Reactome_2022,Metabolism Of Nitric Oxide: NOS3 Activation And Regulation R-HSA-202131,1/15,0.1027568717421913,0.1791805061576929,0,0,9.91108891108891,22.55158813317602,CALM1,EC-DVR
Reactome_2022,Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,2/76,0.104040656734529,0.1804139920105684,0,0,3.76513132851161,8.520392518690185,UBB;RPS27A,EC-DVR
