Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cell_type
GO_Biological_Process_2023,Intracellular Iron Ion Homeostasis (GO:0006879),2/50,0.007499481830469,0.1412402411405008,0,0,16.583333333333332,81.14094572244915,FTH1;B2M,EC-GC
GO_Biological_Process_2023,Positive Regulation Of Cell Population Proliferation (GO:0008284),5/483,0.0082287880551068,0.1457796724910619,0,0,4.333214635449123,20.799935219332987,RPS4X;BST2;RPS9;RPS15A;RPS6,EC-GC
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),6/705,0.0096406267122336,0.1457796724910619,0,0,3.591901474155626,16.67277749147668,LGALS1;GSTP1;RPS6;RACK1;RPS3;TPT1,EC-GC
GO_Biological_Process_2023,Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123),3/175,0.0106319130363868,0.1457796724910619,0,0,7.039392501186521,31.98626135376224,BST2;LGALS1;S100A4,EC-GC
GO_Biological_Process_2023,Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235),2/62,0.0113494400455293,0.1457796724910619,0,0,13.258666666666668,59.38009046649572,RACK1;RPS3,EC-GC
GO_Biological_Process_2023,Response To Reactive Oxygen Species (GO:0000302),2/66,0.0127892038354819,0.1457796724910619,0,0,12.4275,54.17338527013628,GSTP1;RPS3,EC-GC
GO_Biological_Process_2023,Positive Regulation Of Receptor Binding (GO:1900122),1/5,0.0129337430598204,0.1457796724910619,0,0,97.76470588235294,425.072693906196,B2M,EC-GC
GO_Biological_Process_2023,Amylin Receptor Signaling Pathway (GO:0097647),1/5,0.0129337430598204,0.1457796724910619,0,0,97.76470588235294,425.072693906196,RAMP2,EC-GC
GO_Biological_Process_2023,Extrinsic Apoptotic Signaling Pathway (GO:0097191),2/67,0.0131609912663893,0.1457796724910619,0,0,12.235692307692307,52.9866414552906,IFI27;SIVA1,EC-GC
GO_Biological_Process_2023,Regulation Of Programmed Cell Death (GO:0043067),3/195,0.0142119622253833,0.1457796724910619,0,0,6.299744897959184,26.79704381000054,LGALS1;RPS3;TPT1,EC-GC
GO_Biological_Process_2023,Negative Regulation Of Protein Binding (GO:0032091),2/71,0.0146947470224721,0.1457796724910619,0,0,11.524057971014493,48.63458075413379,RACK1;B2M,EC-GC
